M_H,T_eff,log_g,z,Y,i,r
00,11200,g15,1464273243964509.8,1134348691581851.2,2277922064571565.0,4336973114379459.0
00,11200,g20,1585101690879661.0,1229813492511962.8,2466387652704580.5,4733703033090473.0
00,11200,g25,1611663881807579.0,1256340677547386.5,2498034499227278.5,4802891290747325.0
00,11200,g30,1652211322018870.2,1296159191013583.8,2576010585341770.5,4971671762477123.0
00,11200,g35,1623751279767833.5,1286073896237081.5,2545339017267856.0,4917491661696235.0
00,11200,g40,1589365178814268.5,1271032119763620.2,2524383912648718.0,4880784072629693.0
00,11200,g45,1592475626414148.2,1285700631368279.2,2573479980480202.5,4972802206568159.0
00,11400,g00,494991087392103.44,388285823819085.5,780823655648104.2,1427557636729207.8
00,11400,g05,888733744508501.4,692474061205335.0,1397379305668123.5,2593658102701596.0
00,11400,g10,1213280795545303.0,941176501096975.8,1898139645903974.8,3575264063509979.0
00,11400,g15,1502140959001733.0,1163100667896732.8,2347113125118066.5,4473715888673247.0
00,11400,g20,1624905599878300.0,1260117578158229.2,2541464699539130.5,4876039694239742.0
00,11400,g25,1657915264708135.0,1291293149070419.2,2589178757375454.0,4970646219562992.0
00,11400,g30,1702576350913853.2,1333685892376184.0,2675599503376948.0,5149408206135807.0
00,11400,g35,1661946744652265.2,1313978122852104.8,2614337483432340.0,5068631697152146.0
00,11400,g40,1627983548383943.8,1299732339097551.0,2594562487481850.5,5035714377680755.0
00,11400,g45,1629333839577695.0,1313136673509709.0,2640043153559303.5,5121596531313163.0
00,11600,g00,504941789234041.6,395839491660981.0,798949033458408.8,1464926390408022.0
00,11600,g05,910054308531347.9,708544237483650.4,1435830187433530.5,2671956807338197.5
00,11600,g10,1239090084913259.2,960439553168563.0,1944943620773216.2,3672559935800203.5
00,11600,g15,1536440873180958.2,1188498827694659.8,2409231445251516.5,4605667991861253.0
00,11600,g20,1663079180967663.2,1288525256468956.2,2611905985702749.0,5022885182706341.0
00,11600,g25,1699304112404193.0,1322072782474943.5,2665798889192912.5,5131794193092946.0
00,11600,g30,1745407400984773.2,1365488813583318.8,2754872096817590.5,5317896752607026.0
00,11600,g35,1721423138782704.0,1357402204370683.8,2728808292853360.5,5276196110622916.0
00,11600,g40,1685489916629810.0,1340520514589543.0,2703621717698767.0,5224896868161375.0
00,11600,g45,1692048820399659.2,1357283846269897.8,2753927729465168.0,5327613620732029.0
00,11800,g00,513960885261574.94,402704878517858.1,815522084023927.2,1499381671473313.2
00,11800,g05,930960100621247.8,724366693892534.9,1473603109316753.2,2748750779112375.0
00,11800,g10,1272640756484079.8,985779755095365.6,2005466966063152.2,3795879114270204.0
00,11800,g15,1576373884548498.2,1218528448860787.2,2482501562596841.0,4755239683267843.0
00,11800,g20,1706659832053152.5,1320849098848320.2,2691689276515646.5,5192309403541208.0
00,11800,g25,1740514281981988.5,1352679637140041.0,2741834008224143.5,5292204064529066.0
00,11800,g30,1786778880218861.5,1396157044921049.8,2831314801953710.5,5481655804611842.0
00,11800,g35,1761837274551375.5,1387680047020933.5,2804727988196998.5,5436043908725645.0
00,11800,g40,1724154403925586.5,1369179594494313.8,2775254971070037.5,5381222928884499.0
00,11800,g45,1731619445093133.8,1386466200730995.5,2826637603350142.5,5483542510795089.0
00,12000,g00,523285813764171.7,409801041560462.8,832556244758540.6,1534810877359187.2
00,12000,g05,951090124362426.0,739551741078164.1,1510306505262913.5,2824268424956982.0
00,12000,g10,1302195353516474.8,1007961389771816.8,2059107992354827.8,3906380649155458.5
00,12000,g15,1613225474383996.8,1246033617843803.2,2549811138026390.0,4895469977860670.0
00,12000,g20,1747483930971745.5,1351204247105458.0,2766973935348411.0,5350073639379044.0
00,12000,g25,1781405349173100.5,1383037926477967.0,2817703027736857.0,5451674123304702.0
00,12000,g30,1829037792386247.5,1427490102131572.0,2909988273467017.0,5648578265855125.0
00,12000,g35,1804233935622802.0,1418925968962840.5,2882694254039892.5,5604329904757484.0
00,12000,g40,1763579915217206.5,1398516148834821.0,2848600206559739.0,5541242440369621.0
00,12000,g45,1772711216856981.8,1417008377754695.5,2902767213623458.5,5649986878845355.0
00,12500,g05,1002147423851465.2,778034965355897.4,1603572172873479.2,3015856174644595.0
00,12500,g10,1376333415311727.5,1063579783661725.8,2193795459259335.2,4184888394857780.5
00,12500,g15,1707009938647313.5,1316111254849644.0,2720815237624656.0,5251029910009222.0
00,12500,g20,1846921122776436.8,1425261919959955.8,2950313961444872.0,5733252745623729.0
00,12500,g25,1889159450002860.5,1463666138176994.8,3020663776487575.5,5861332744298534.0
00,12500,g30,1939430879416872.2,1509494639303985.5,3119239471713034.5,6067739953873648.0
00,12500,g35,1918556349499064.2,1503207783679946.2,3101088212199278.5,6035713439611769.0
00,12500,g40,1875406168266483.5,1479904209803214.8,3060554506852762.5,5958167037325275.0
00,12500,g45,1890699949137207.2,1502401828026174.0,3122512738223189.0,6083816684833998.0
00,13000,g05,1053280416604766.0,816649034022746.5,1697177646356248.2,3208525165312764.5
00,13000,g10,1452564157075912.0,1120659852889058.2,2333080347314880.0,4473969372778371.5
00,13000,g15,1803087153302350.0,1387683891463609.5,2896842328101036.0,5620884160772098.0
00,13000,g20,1953560426202421.0,1504401102795296.8,3146676221348901.0,6149336272177085.0
00,13000,g25,1991078050573515.2,1539205709515015.5,3209702648648576.0,6265076221030059.0
00,13000,g30,2043206522956260.2,1586309781272920.0,3312626417680143.5,6485278623817298.0
00,13000,g35,2020823699364673.8,1578836125066941.8,3292188506669065.5,6448252139566146.0
00,13000,g40,1969277838418289.8,1549301795930581.2,3237257401836956.0,6343544639503027.0
00,13000,g45,1990668915008088.2,1576693772266919.0,3310801693640665.0,6494374760031316.0
